stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"70201","70201",San Antonio Caltrain,37.407323,-122.107069,"59852","","","0","","America/Los_Angeles","1"
"70202","70202",San Antonio Caltrain,37.407277,-122.107125,"59852","","","0","","America/Los_Angeles","1"
"70051","70051",San Bruno Caltrain,37.631128,-122.411968,"59853","","","0","","America/Los_Angeles","1"
"70052","70052",San Bruno Caltrain,37.631108,-122.412076,"59853","","","0","","America/Los_Angeles","1"
"70131","70131",San Carlos Caltrain,37.50805,-122.26015,"59854","","","0","","America/Los_Angeles","1"
"70132","70132",San Carlos Caltrain,37.507933,-122.260266,"59854","","","0","","America/Los_Angeles","1"
"70011","70011",San Francisco Caltrain,37.77639,-122.394992,"59853","","","0","","America/Los_Angeles","1"
"70012","70012",San Francisco Caltrain,37.776348,-122.394935,"59853","","","0","","America/Los_Angeles","1"
"777402","777402",San Jose Caltrain Station,37.330196,-121.901985,"59852","","","0","","America/Los_Angeles","1"
"70261","70261",San Jose Diridon Caltrain,37.329239,-121.903011,"59855","","","0","","America/Los_Angeles","1"
"70262","70262",San Jose Diridon Caltrain,37.329231,-121.903173,"59855","","","0","","America/Los_Angeles","1"
"70311","70311",San Martin Caltrain,37.085225,-121.610049,"59857","","","0","","America/Los_Angeles","1"
"70312","70312",San Martin Caltrain,37.086653,-121.610936,"59857","","","0","","America/Los_Angeles","1"
"70091","70091",San Mateo Caltrain,37.568087,-122.323851,"59854","","","0","","America/Los_Angeles","1"
"70092","70092",San Mateo Caltrain,37.568294,-122.324092,"59854","","","0","","America/Los_Angeles","1"
"70242","70242",Santa Clara Caltrain,37.353189,-121.936135,"59855","","","0","","America/Los_Angeles","1"
"70241","70241",Santa Clara Caltrain,37.353238,-121.93608,"59855","","","0","","America/Los_Angeles","1"
"70041","70041",South San Francisco Caltrain,37.65589,-122.40487,"59853","","","0","","America/Los_Angeles","2"
"70042","70042",South San Francisco Caltrain,37.655946,-122.405018,"59853","","","0","","America/Los_Angeles","2"
"2537744","2537744",Stanford Caltrain,37.4384454676,-122.156501991,"59852","","","0","","America/Los_Angeles","0"
"2537740","2537740",Stanford Caltrain,37.438516,-122.156443,"59852","","","0","","America/Los_Angeles","0"
"70222","70222",Sunnyvale Caltrain,37.378789,-122.031423,"59852","","","0","","America/Los_Angeles","1"
"70221","70221",Sunnyvale Caltrain,37.378916,-122.031372,"59852","","","0","","America/Los_Angeles","1"
"70272","70272",Tamien Caltrain,37.31175,-121.883999,"59855","","","0","","America/Los_Angeles","1"
"70271","70271",Tamien Caltrain,37.31174,-121.883721,"59855","","","0","","America/Los_Angeles","1"
"777403","777403",Tamien Caltrain Station,37.311638,-121.883403,"59852","","","0","","America/Los_Angeles","1"
