route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
TaSJ-Shuttle,72982,shuttle437,San Jose Diridon Caltrain Station,1,,p_692575,437,,
TaSJ-Shuttle,74732,shuttle439H,San Jose Diridon Caltrain Station,1,,p_692575,439,,
TaSJ-Shuttle,72982,shuttle439,San Jose Diridon Caltrain Station,1,,p_692575,439,,
TaSJ-Shuttle,74732,shuttle441H,San Jose Diridon Caltrain Station,1,,p_692575,441,,
TaSJ-Shuttle,72982,shuttle441,San Jose Diridon Caltrain Station,1,,p_692575,441,,
Limited,72981,217,San Francisco Caltrain Station,0,,p_692611,217,,
Limited,72981,222,San Jose Diridon Caltrain Station,1,,p_692589,222,,
Limited,72981,232,San Jose Diridon Caltrain Station,1,,p_692617,232,,
Limited,72981,211,San Francisco Caltrain Station,0,,p_692577,211,,
Limited,72981,227,San Francisco Caltrain Station,0,,p_692588,227,,
Limited,72981,268,Gilroy Caltrain Station,1,,p_692598,268,,
Limited,72981,216,San Jose Diridon Caltrain Station,1,,p_692580,216,,
Limited,72981,226,San Jose Diridon Caltrain Station,1,,p_692580,226,,
Limited,72981,287,San Francisco Caltrain Station,0,,p_692581,287,,
Limited,72981,236,Tamien Caltrain Station,1,,p_692579,236,,
Limited,72981,254,Tamien Caltrain Station,1,,p_692579,254,,
Limited,72981,258,Tamien Caltrain Station,1,,p_692579,258,,
Limited,72981,212,San Jose Diridon Caltrain Station,1,,p_692613,212,,
Limited,72981,261,San Francisco Caltrain Station,0,,p_692587,261,,
Limited,72981,269,San Francisco Caltrain Station,0,,p_692587,269,,
Limited,72981,279,San Francisco Caltrain Station,0,,p_692587,279,,
Limited,74732,421H,San Francisco Caltrain Station,0,,p_897753,421,,
Limited,74732,502H,San Jose Diridon Caltrain Station,1,,p_692605,502,,
Limited,74732,504H,San Jose Diridon Caltrain Station,1,,p_692605,504,,
Limited,74732,508H,San Jose Diridon Caltrain Station,1,,p_692605,508,,
Limited,74732,506H,Gilroy Caltrain Station,1,,p_897754,506,,
Limited,72981,233,San Francisco Caltrain Station,0,,p_692570,233,,
Limited,72981,237,San Francisco Caltrain Station,0,,p_692570,237,,
Limited,72981,257,San Francisco Caltrain Station,0,,p_692570,257,,
Limited,72981,207,San Francisco Caltrain Station,0,,p_692612,207,,
Limited,74732,501H,San Francisco Caltrain Station,0,,p_692604,501,,
Limited,74732,503H,San Francisco Caltrain Station,0,,p_692604,503,,
Limited,74732,505H,San Francisco Caltrain Station,0,,p_692604,505,,
Limited,74732,507H,San Francisco Caltrain Station,0,,p_692604,507,,
Limited,72981,264,San Jose Diridon Caltrain Station,1,,p_692600,264,,
Limited,72981,284,San Jose Diridon Caltrain Station,1,,p_692600,284,,
Limited,72981,272,San Jose Diridon Caltrain Station,1,,p_692578,272,,
Limited,72981,263,San Francisco Caltrain Station,0,,p_692574,263,,
Limited,72981,273,San Francisco Caltrain Station,0,,p_692574,273,,
Limited,72981,283,San Francisco Caltrain Station,0,,p_692574,283,,
Limited,72981,289,San Francisco Caltrain Station,0,,p_692627,289,,
Limited,72981,221,San Francisco Caltrain Station,0,,p_692607,221,,
Limited,72981,278,Tamien Caltrain Station,1,,p_692582,278,,
Limited,72981,288,Tamien Caltrain Station,1,,p_692582,288,,
Limited,72981,282,San Jose Diridon Caltrain Station,1,,p_692571,282,,
Limited,72981,208,San Jose Diridon Caltrain Station,1,,p_692592,208,,
Limited,72981,218,San Jose Diridon Caltrain Station,1,,p_692592,218,,
Limited,72981,228,San Jose Diridon Caltrain Station,1,,p_692592,228,,
Limited,72981,206,San Jose Diridon Caltrain Station,1,,p_692590,206,,
Limited,72981,215,San Francisco Caltrain Station,0,,p_692591,215,,
